p_val	avg_diff	pct.1	pct.2	p_val_adj	name
1.72995578135469e-05	0.189850076781703	0.352	0.306	0.0432315949760536	JASPAR2022-MA1647.1
1.75065120772927e-05	0.221594397293226	0.628	0.545	0.0437487736811546	ISMARA- Creb5
1.75501256189709e-05	0.199355080702163	0.396	0.326	0.0438577639218082	ISMARA- Hand1
1.7972131263621e-05	-0.216935430566573	0.494	0.553	0.0449123560277888	JASPAR2022-MA0643.1
1.85874065079231e-05	0.221966535756191	0.71	0.614	0.0464499288632999	JASPAR2022-MA0493.1
1.91487730859127e-05	0.191422601967237	0.578	0.471	0.0478527839416959	JASPAR2022-MA0152.2
1.94782967254356e-05	0.183327474173434	0.468	0.37	0.0486762635168636	ISMARA- Creb3l2
2.00928188179635e-05	-0.224761381720494	0.794	0.802	0.0502119542260908	ISMARA- Pou3f2
2.04433989213758e-05	0.156659322099792	0.582	0.52	0.0510880539045181	JASPAR2022-MA0146.2
2.0510833112008e-05	0.220028498599317	0.359	0.314	0.051256571946908	JASPAR2022-MA0059.1
2.07144087493911e-05	0.315073253148332	0.955	0.843	0.0517653074647283	JASPAR2022-MA0103.1
2.07144087493911e-05	0.315073253148332	0.955	0.843	0.0517653074647283	ISMARA- Snai1
2.07257747290779e-05	0.195719422651002	0.685	0.641	0.0517937110479657	JASPAR2022-MA0078.1
2.08169165665372e-05	0.228976427756486	0.87	0.787	0.0520214744997764	JASPAR2022-MA0701.1
2.08169165665372e-05	0.228976427756486	0.87	0.787	0.0520214744997764	JASPAR2022-MA0720.1
2.08169165665372e-05	0.228976427756486	0.87	0.787	0.0520214744997764	ISMARA- Lhx9
2.08169165665372e-05	0.228976427756486	0.87	0.787	0.0520214744997764	ISMARA- Shox2
2.11157701623294e-05	0.202674172870958	0.833	0.75	0.0527683096356611	Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer
2.13659800059626e-05	0.196162168965583	0.595	0.519	0.0533935840349004	ISMARA- Hbp1
2.21397070762913e-05	0.195705207544828	0.696	0.619	0.055327127983652	ISMARA- Arid3a
2.21518163264486e-05	-0.208290256891325	0.706	0.746	0.0553573889997951	ISMARA- Pou6f1
2.26475728974916e-05	0.154738484835718	0.585	0.524	0.0565962846708316	JASPAR2022-MA0146.1
2.26847126266599e-05	0.204572159365444	0.806	0.709	0.0566890968540232	Berger2008-Hlx1-2350.1
2.26847126266599e-05	0.204572159365444	0.806	0.709	0.0566890968540232	ISMARA- Hlx
2.29463183672118e-05	0.223598578901881	0.843	0.763	0.0573428495996623	Berger2008-Hoxb4-2627.1
2.37743682143817e-05	0.156823059541691	0.525	0.439	0.0594121461677398	JASPAR2022-MA1099.2
2.39498773581402e-05	0.172537134135983	0.525	0.44	0.0598507435179925	RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer
2.50563220845501e-05	-0.23836036721771	0.792	0.837	0.0626157488892906	JASPAR2022-MA0629.1
2.59847715862416e-05	0.17182113945136	0.415	0.334	0.0649359441940177	ISMARA- Six3
2.61615729087186e-05	0.336704762570402	0.956	0.858	0.0653777706988878	ISMARA- Tcf4
2.67712940607399e-05	0.253724697418948	0.904	0.839	0.0669014638577891	Berger2008-Ipf1-3815.1
2.68148399495413e-05	0.224732953530832	0.803	0.721	0.0670102850339037	Berger2008-Arx-1738.2
2.69094205555895e-05	0.22473937659138	0.804	0.721	0.0672466419684183	ISMARA- Arx
2.69531800578334e-05	0.175388610279964	0.589	0.51	0.0673559969645256	JASPAR2022-MA0136.3
2.70775330838234e-05	-0.211522343023286	0.417	0.512	0.0676667551764747	JASPAR2022-MA1119.1
2.75208009517688e-05	0.244041083044623	0.912	0.839	0.0687744815784701	JASPAR2022-MA0898.1
2.80239353589724e-05	0.138962922798543	0.618	0.535	0.0700318144620721	JASPAR2022-MA1710.1
2.82062806420185e-05	0.171083304163823	0.415	0.336	0.0704874953244043	Berger2008-Six3-1732.2
2.85897959711909e-05	0.2025585180056	0.637	0.557	0.0714459001320059	ISMARA- Pax4
2.88534123692513e-05	0.220920486947119	0.667	0.575	0.0721046775107591	Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer
2.91075572258323e-05	0.202850414167426	0.612	0.549	0.0727397855073548	JASPAR2022-MA1145.1
2.91901194954086e-05	0.179413684650394	0.536	0.457	0.072946108619026	ZNF322(Zf)/HEK293-ZNF322.GFP-ChIP-Seq(GSE58341)/Homer
2.92610641797852e-05	0.184320844252166	0.563	0.472	0.0731233993852833	JASPAR2022-MA0105.2
2.99311650053776e-05	0.182249877448481	0.587	0.505	0.0747979813484387	ISMARA- Zfp524
3.04678781533127e-05	0.176128402367159	0.593	0.506	0.0761392275051285	JASPAR2022-MA1975.1
3.12649038316121e-05	-0.199381200563438	0.605	0.662	0.0781309946751986	ISMARA- Sox7
3.1416535089688e-05	0.196011591666491	0.365	0.299	0.0785099211891302	JASPAR2022-MA0842.2
3.1416535089688e-05	0.186334449171597	0.43	0.379	0.0785099211891302	JASPAR2022-MA0622.1
3.15858337365514e-05	0.220263087720903	0.531	0.464	0.078932998507642	Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950)/Homer
3.26199716161968e-05	0.201664748767084	0.382	0.335	0.0815173090688759	JASPAR2022-MA0508.2
3.27954250370459e-05	0.198150015867125	0.684	0.629	0.0819557671675777	Berger2008-Tcf2-0913.2
3.42042116968571e-05	0.209825417374136	0.52	0.455	0.0854763250304459	Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer
3.48413745596949e-05	0.164573918304238	0.564	0.503	0.0870685950246776	JASPAR2022-MA0694.1
3.48506911433475e-05	0.211529056880833	0.78	0.7	0.0870918771672254	JASPAR2022-MA0060.1
3.50187947642376e-05	0.252047774057013	0.907	0.841	0.0875119681158296	ISMARA- Evx1
3.6082201155301e-05	0.195982957478406	0.496	0.417	0.0901694206870971	JASPAR2022-MA0490.2
