p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
0.695373920687859	-0.181774782974487	0.011	0.01	1	Itgb1bp2	other
0.695392070258173	-0.250538681943503	0.062	0.064	1	Cyren	other
0.695697496065097	-0.254212956380799	0.018	0.019	1	H4f16	other
0.695728798340453	0.0235964902955788	0.013	0.014	1	AI413582	other
0.695888974319626	-0.115075832320356	0.049	0.047	1	Rnf19b	other
0.696050569701871	-0.184885612203047	0.105	0.1	1	Tmem209	other
0.696209791195294	-0.0701300196101182	0.053	0.051	1	Abcd4	other
0.696238138445356	-0.371043918519631	0.027	0.028	1	D030028A08Rik	other
0.696307471863681	-0.249447318254072	0.013	0.014	1	Gm10484	other
0.696491695242637	-0.0791931469233167	0.714	0.693	1	Atrx	other
0.696668758023157	-0.161164345654514	0.015	0.016	1	Gm17056	other
0.696949760780014	-0.111772458307073	0.097	0.093	1	2210016L21Rik	other
0.697296774629723	-0.265247240164667	0.016	0.017	1	Arhgap23	other
0.697349526424109	0.176819123346344	0.026	0.025	1	Dus2	other
0.69771178738131	0.222244879215473	0.023	0.022	1	Gm43863	other
0.697761676475322	-0.538349605103091	0.01	0.011	1	Rab26	other
0.697997860257854	-0.336281185236613	0.016	0.017	1	Ehd3	other
0.698077287436601	-0.260262138988356	0.033	0.035	1	B4galt7	other
0.698097764737828	-0.744547893223659	0.015	0.016	1	Adamts7	other
0.698262926820324	-0.0966497872909819	0.058	0.055	1	Hpcal1	other
0.698268271674312	-0.0428429708725194	0.475	0.458	1	Bod1l	other
0.698498418680518	-0.279905317435841	0.017	0.016	1	Swsap1	other
0.69863087070248	-0.0811133896813669	0.048	0.046	1	Kifc5b	other
0.69868439904291	-0.151073085379774	0.155	0.157	1	Gna13	other
0.698767253539353	-0.360417928439153	0.019	0.02	1	Cyb561d1	other
0.698777558431913	-0.160065896963645	0.043	0.041	1	Lsm10	other
0.699141244200068	-0.319997041942377	0.023	0.021	1	Agpat2	other
0.699160078062169	-0.182111773441516	0.101	0.102	1	Slc25a46	other
0.699460209114223	-0.173213043872721	0.059	0.062	1	Med15	other
0.699502578342166	-0.380442124076113	0.012	0.013	1	Gpr173	other
0.69985110323212	-0.429979654440601	0.033	0.031	1	Gm9993	other
0.699872079887642	-0.139888247919822	0.023	0.025	1	Rtn4ip1	other
0.699888781746975	-0.0653113126094552	0.23	0.221	1	Zfc3h1	other
0.700364324685575	-0.0471148659081102	0.03	0.028	1	B4galt4	other
0.700420172444706	-0.0569304646955522	0.035	0.036	1	Dscc1	other
0.700629736871347	0.0471347484032103	0.089	0.086	1	4921524J17Rik	other
0.700948068358521	-0.159738281557986	0.149	0.15	1	Mnat1	other
0.700950822093787	-0.194945280746513	0.043	0.041	1	Spindoc	other
0.70119190359867	0.0401552621756083	0.041	0.039	1	Aoc2	other
0.701360892653027	-0.209071477868271	0.012	0.013	1	Gm7335	other
0.701416216715569	-0.23122905811419	0.024	0.025	1	Mblac2	other
0.701432005121211	-0.228338030899715	0.031	0.029	1	Spata7	other
0.701566515735961	-0.0730227856966197	0.109	0.105	1	Maoa	other
0.701709231256184	-0.0898996018902313	0.262	0.25	1	Dpy19l1	other
0.701767624483905	-0.0273610330183525	0.063	0.06	1	Gabarapl2	other
0.702538776583376	-0.0679922722111006	0.405	0.381	1	Mycbp2	other
0.702821682886893	-0.151127882670925	0.064	0.066	1	Sowahc	other
0.70303262323352	-0.114099702677019	0.246	0.235	1	Cep164	other
0.703178523642308	-0.152918568771153	0.16	0.154	1	Rnf168	other
0.703415789747833	-0.106541082547165	0.028	0.027	1	D830024N08Rik	other
0.703504961603185	-0.0821010659831081	0.398	0.392	1	Wapl	other
