BADC_120h_rep1_(010925)	BADC_120h_rep2_(091025)	BADC_120h_rep3_(100825)	wt_120h_rep2_(091025)	wt_120h_rep1_(010925)	wt_120h_rep3_(100825)	BADC_120h_rep4_(180324)	BADC_120h_rep5_(230324)	wt_120h_rep5_(230324)	wt_120h_rep4_(Cynthia)
287.155056179775	697.971348314607	556.267415730337	735.138764044944	446.934831460674	756.02808988764	596.96875	571.56	694.68	718.681228668942
397.006741573034	648.935393258427	496.562359550562	780.858988764045	486.06404494382	846.991011235955	691.92875	616.32	710.04	867.823890784983
468.012921348315	547.413483146067	527.304494382022	788.86797752809	357.396629213483	878.733707865169	708.36875	592.8	664.56	736.03276450512
454.688764044944	492.666853932584	695.039325842697	627.148314606742	355.792134831461	664.136516853933	627.205	591.84	756.84	699.646416382253
331.824719101124	486.087078651685	499.763483146067	604.69606741573	398.660674157303	622.624157303371	685.62375	723.6	748.2	944.627986348123
323.351685393258	439.083707865168	526.124719101124	645.103370786517	428.794943820225	612.426966292135	672.195	556.08	754.92	727.904436860068
258.845505617978	650.257303370787	505.026404494382	788.762921348315	373.605617977528	593.426966292135	732.8275	645.72	615	729.423890784983
345.551685393258	466.575842696629	499.36404494382	776.873033707865	385.345505617977	752.991573033708	768.2275			980.697610921502
313.693258426966	423.769662921348	632.950561797753	625.314606741573	312.744943820225	637.756741573034	563.93125			934.80409556314
264.915168539326	395.51797752809	549.001123595506	710.006741573034	467.491573033708	648.934831460674	953.83625			755.763822525597
305.130898876405	445.259550561798	510.625280898876	677.385393258427	361.071348314607	547.976966292135	883.04125			
338.212359550562	492.885393258427	486.143820224719	644.234831460674	406.450561797753	678.412921348315	794.49875			
341.288764044944	519.412921348315	492.390449438202	628.156741573034	506.327528089888	655.908426966292	785.145			
401.687078651685	735.975280898876	550.165168539326		519.308426966292	726.37808988764	670.80125			
357.537640449438	597.415168539326	519.673595505618		377.242134831461	558.315168539326	654.8175			
351.679213483146	483.219101123596	524.94606741573		390.800561797753	552.893820224719	683.0375			
339.248876404494	507.184269662921	496.155056179775		481.124719101124	784.528651685393	711.4175			
394.448314606742	642.42191011236	533.601685393258		358.205617977528	585.905617977528	630.1625			
347.065168539326	471.074719101124	537.580898876404		413.230898876405	549.191011235955	649.4475			
317.328651685393	468.192696629214	472.743258426966		359.106179775281	611.084831460674	627.9075			
349.84606741573	366.136516853933	515.865730337079		347.076966292135	644.701123595506	719.29875			
369.956741573034	459.26404494382	474.892696629213		406.817415730337	603.681460674157	840.96875			
321.411235955056	445.941573033708	493.835393258427		317.069662921348	668.630337078652	765.25625			
300.764606741573	492.824719101124	397.209550561798		470.560674157303	662.808988764045	579.35875			
338.266853932584	491.898314606742	466.911797752809		411.406179775281	708.398876404494	539.885			
305.641011235955	474.356741573034	481.907303370787		513.887078651685	611.384269662921	644.61375			
431.29606741573	607.674719101124	554.680337078652		472.576966292135	784.86011235955	718.2525			
379.31797752809	527.8	705.259550561798		521.985393258427	782.028651685393	668.94625			
359.900561797753	594.201123595506	493.380898876404		484.809550561798	691.043820224719	673.225			
290.5	549.347752808989	452.734831460674		414.564606741573	698.581460674157	555.45125			
320.593820224719	489.95	567.373595505618		412.23595505618	634.692696629213	556.5925			
327.592696629213	495.821348314607	488.423595505618		363.998314606742	634.147191011236	621.09875			
275.712359550562	476.976404494382	540.876966292135		352.01404494382	569.897191011236	660.97375			
347.979213483146	489.807303370786	514.683146067416		433.00393258427	555.673595505618	923.64125			
295.187640449438	440.625280898876	496.97808988764		363.954494382023	644.834269662921	910.2775			
337.532584269663	401.955617977528	583.643820224719		350.061235955056	526.415730337079	637.36			
331.176404494382	439.064606741573	513.252247191011		350.212359550562	637.687640449438	592.5825			
325.758988764045	471.293820224719	496.808426966292		403.604494382022	718.971348314607	614.25375			
309.004494382022	482.67808988764	768.010674157303		528.948876404494	879.955056179775	731.22375			
374.984269662921	650.297752808989	941.108426966292		488.238202247191	547.952247191011	645.93			
422.884269662921	589.948876404494	743.505617977528		525.43202247191	709.175280898877	569.6025			
450.201123595506	757.098314606742	549.007865168539		390.781460674157	588.038764044944	799.20375			
309.49606741573	467.661235955056	599.387078651685		355.43595505618	697.338764044944	639.28875			
342.487078651685	474.944943820225	532.850561797753		429.961797752809	646.580337078652	654.9075			
343.62808988764	484.63202247191	535.541573033708		414.710674157303	511.265730337079	706.54			
310.279213483146	332.223033707865	629.370786516854		398.975842696629	675.684831460674	947.8025			
279.216292134831	435.413483146067	545.670786516854		408.371348314607	619.853370786517	791.70125			
261.098876404494	393.615730337079	476.405056179775		402.918539325843	572.858426966292	766.92125			
358.664606741573	419.803370786517	516.516292134831		379.027528089888	677.974719101124	729.46625			
296.436516853933	456.985393258427	566.419662921348		428.547191011236	827.851123595506	784.15875			
408.430898876404	694.852247191011	603.971348314607		407.235393258427	694.300561797753	789.62875			
294.757303370787	445.871348314607	618.134269662921		516.942696629214	685.706179775281	668.92625			
350.803370786517	443.759550561798	576.782584269663		463.171348314607	727.753370786517	647.81875			
421.291011235955	643.18202247191	654.06404494382		456.675842696629	740.337640449438	629.6775			
412.854494382022	701.41797752809	618.974157303371		448.048314606742	659.613483146067	706.59125			
360.591573033708	500.244943820225	519.770786516854		434.299438202247	660.112921348315	647.6675			
326.180337078652	473.257303370787	720.76404494382		499.573595505618	637.725842696629	537.9525			
331.368539325843	457.789887640449	556.492134831461		429.73595505618	713.072471910112	810.075			
335.67808988764	466.252247191011	663.21797752809		468.66404494382	769.58202247191	824.26125			
