Ens_ID	ActA_wt_96h_rep1	ActA_wt_96h_rep2	ActA_BADC_96h_rep1	ActA_BADC_96h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_BADC_120h_rep1	ActA_BADC_120h_rep2
ENSMUSG00000000817	5	16	8	9	1	2	0	1
ENSMUSG00000000823	1758	1934	1262	881	1388	1370	1062	980
ENSMUSG00000000826	4037	4466	3765	2774	1386	1289	1876	1707
ENSMUSG00000000827	2082	2345	1780	1142	1319	1414	1398	1263
ENSMUSG00000000838	2098	2293	2226	1560	827	824	1059	1020
ENSMUSG00000000861	256	306	180	123	13	19	60	49
ENSMUSG00000000869	2	3	0	0	0	0	0	0
ENSMUSG00000000876	424	490	329	259	99	96	128	100
ENSMUSG00000000881	1537	1751	998	666	697	802	1020	1040
ENSMUSG00000000884	267	256	175	127	127	129	83	75
ENSMUSG00000000889	1	2	6	1	2	2	6	2
ENSMUSG00000000901	495	623	460	313	521	503	373	326
ENSMUSG00000000902	3361	3860	3044	2138	1387	1365	1845	1694
ENSMUSG00000000903	7	11	7	4	1	2	2	4
ENSMUSG00000000915	535	609	434	291	211	200	141	135
ENSMUSG00000000916	588	680	485	374	365	342	428	341
ENSMUSG00000000934	88	113	81	61	26	35	24	26
ENSMUSG00000000938	7	10	0	0	90	104	0	0
ENSMUSG00000000942	157	155	0	0	66	76	0	0
ENSMUSG00000000957	1312	1497	834	605	689	708	784	698
ENSMUSG00000000958	3786	4503	2432	1740	584	551	275	250
ENSMUSG00000000959	3477	3714	3185	2420	1013	1032	1535	1463
ENSMUSG00000000976	810	968	700	506	501	504	616	579
ENSMUSG00000000982	0	1	1	0	0	0	0	0
ENSMUSG00000000983	0	0	0	0	0	0	0	0
ENSMUSG00000001014	9	12	2	1	2	0	1	1
ENSMUSG00000001016	5947	6940	5908	3959	2934	2967	3811	3651
ENSMUSG00000001017	5218	5799	5166	3500	2361	2258	2961	2683
ENSMUSG00000001018	925	1051	764	504	327	321	290	264
ENSMUSG00000001020	0	0	0	0	0	0	0	0
ENSMUSG00000001021	0	1	0	2	5	3	1	0
ENSMUSG00000001023	0	0	0	0	0	0	0	0
ENSMUSG00000001025	11	20	6	5	6	5	0	3
ENSMUSG00000001027	12	15	7	3	9	10	20	10
ENSMUSG00000001029	1	3	2	0	5	1	12	8
ENSMUSG00000001034	1961	2278	1856	1348	1117	1110	1673	1541
ENSMUSG00000001036	1820	2169	1714	1125	804	800	954	881
ENSMUSG00000001039	1081	1229	948	613	532	566	548	474
ENSMUSG00000001052	1733	2073	1639	1178	783	783	1150	1064
ENSMUSG00000001053	342	372	264	181	116	147	54	63
ENSMUSG00000001054	523	581	385	241	270	241	162	150
ENSMUSG00000001056	3441	4040	3257	2186	1265	1347	1497	1497
ENSMUSG00000001062	342	357	364	247	375	394	453	398
ENSMUSG00000001065	242	266	204	131	288	259	274	254
ENSMUSG00000001076	17	28	7	5	8	10	4	3
ENSMUSG00000001082	2464	2763	2174	1546	986	917	1044	896
ENSMUSG00000001089	1802	2070	1626	1230	820	783	1328	1231
ENSMUSG00000001095	0	2	0	0	0	0	0	0
ENSMUSG00000001098	2350	2729	2151	1563	1029	1016	1392	1262
ENSMUSG00000001100	2496	2853	2553	1771	1335	1241	1746	1661
ENSMUSG00000001103	0	1	0	0	1	2	0	0
ENSMUSG00000001105	445	563	368	254	242	267	244	241
ENSMUSG00000001119	23	41	12	7	24	21	25	18
ENSMUSG00000001120	845	931	747	540	241	194	352	249
ENSMUSG00000001123	67	88	154	96	21	25	1	4
ENSMUSG00000001127	2313	2557	2310	1632	1485	1349	1363	1266
ENSMUSG00000001128	156	181	184	107	215	173	208	179
ENSMUSG00000001131	105	105	51	39	30	31	23	26
ENSMUSG00000001134	628	794	637	396	246	267	240	269
ENSMUSG00000001138	1142	1282	1106	798	496	483	621	539
ENSMUSG00000001143	1151	1277	1102	785	521	514	589	499
ENSMUSG00000001150	2123	2457	1993	1323	759	732	1103	1041
ENSMUSG00000001151	1230	1306	1047	736	583	556	754	756
ENSMUSG00000001155	2	0	0	0	3	0	0	0
ENSMUSG00000001156	170	166	169	105	102	129	128	120
ENSMUSG00000001157	751	807	704	499	289	243	384	330
ENSMUSG00000001158	1044	1267	937	649	377	393	347	428
ENSMUSG00000001166	129	146	199	120	17	11	5	8
ENSMUSG00000001168	0	0	0	0	0	0	0	0
ENSMUSG00000001173	1052	1226	910	650	349	347	471	387
ENSMUSG00000001175	11225	13628	8795	5950	4243	4247	3617	3448
ENSMUSG00000001211	2904	3390	2093	1547	686	671	546	483
ENSMUSG00000001225	1	3	1	0	0	0	0	0
ENSMUSG00000001227	57	73	28	23	11	18	15	5
ENSMUSG00000001228	8211	9292	7635	5300	2843	2813	5049	4497
ENSMUSG00000001229	1967	2226	1675	1234	882	934	1109	995
ENSMUSG00000001240	173	222	148	86	170	171	133	128
ENSMUSG00000001247	3628	4284	3281	2295	994	955	790	708
ENSMUSG00000001248	826	882	866	556	909	859	794	727
ENSMUSG00000001249	204	276	97	71	54	40	5	6
ENSMUSG00000001260	0	3	4	1	22	13	0	1
ENSMUSG00000001270	645	751	664	434	273	267	183	161
ENSMUSG00000001280	3629	4053	3200	2374	1283	1217	1838	1728
ENSMUSG00000001281	24	43	9	7	6	17	8	3
