"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.55,0.6]","wt","HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer",0.739,"1e-33"
"(0.55,0.6]","wt","FAR1/MA1382.2/Jaspar",0.67,"1e-32"
"(0.55,0.6]","wt","RDS1/RDS1_H2O2Hi/[]",NA,"1e-32"
"(0.55,0.6]","wt","PHD1",NA,"1e-29"
"(0.55,0.6]","wt","GIS1/MA0306.2/Jaspar",0.757,"1e-27"
"(0.55,0.6]","wt","ZmbZIP72/MA2412.1/Jaspar",0.724,"1e-26"
"(0.55,0.6]","wt","ASHR1(ND)/col-ASHR1-DAP-Seq(GSE60143)/Homer",0.746,"1e-24"
"(0.55,0.6]","wt","ZNF449/MA1656.2/Jaspar",0.722,"1e-23"
"(0.55,0.6]","wt","GRF9/MA1756.2/Jaspar",0.838,"1e-21"
"(0.55,0.6]","wt","elt-3/MA0542.1/Jaspar",0.693,"1e-21"
"(0.55,0.6]","wt","PB0093.1_Zfp105_1/Jaspar",0.749,"1e-19"
"(0.55,0.6]","wt","Hic1/MA0739.2/Jaspar",0.683,"1e-17"
"(0.55,0.6]","wt","Ikzf3/MA1992.2/Jaspar",0.88,"1e-15"
"(0.55,0.6]","wt","PB0114.1_Egr1_2/Jaspar",0.667,"1e-14"
"(0.55,0.6]","wt","Caup/dmmpmm(Noyes_hd)/fly",0.723,"1e-12"
"(0.55,0.6]","wt","PB0136.1_IRC900814_2/Jaspar",0.581,"1e-12"
"(0.55,0.6]","wt","At5g05790(MYBrelated)/col-At5g05790-DAP-Seq(GSE60143)/Homer",0.947,"1e-12"
"(0.55,0.6]","wt","RO3G_00049(RRM)/Rhizopus_oryzae-RNCMPT00205-PBM/HughesRNA",0.836,"1e-11"
"(0.55,0.6]","wt","Tp_0225(RRM)/Thalassiosira_pseudonana-RNCMPT00225-PBM/HughesRNA",0.69,"1e-5"
"(0.6,0.65]","BADC","MGA/MA0801.1/Jaspar",0.984,"1e-71"
"(0.6,0.65]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.799,"1e-62"
