"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf181",0.000497917857735774,1.3670796834552,0.343,0.193,1,"18","Rnf181"
"Pid14",0.000514928588830544,1.13819253494232,0.269,0.129,1,"18","Pid1"
"Sec62",0.000525215343203195,0.614052536928615,0.896,0.852,1,"18","Sec62"
"Skil3",0.000531448834957931,0.922677612762309,0.433,0.252,1,"18","Skil"
"Creb3",0.000551764901936159,1.4494701093142,0.209,0.089,1,"18","Creb3"
"Zfp263",0.000556757340619255,1.2875762923662,0.269,0.128,1,"18","Zfp263"
"Zfp9381",0.000558686433263904,1.17007999430704,0.269,0.127,1,"18","Zfp938"
"Spopl1",0.000563666984852236,1.38510216609304,0.254,0.121,1,"18","Spopl"
"Ina4",0.000588600180238762,0.874573408205618,0.373,0.211,1,"18","Ina"
"Gm28303",0.000594968404996119,1.15779400048156,0.373,0.223,1,"18","Gm2830"
"F2rl14",0.000606988275017881,1.76400107223733,0.239,0.114,1,"18","F2rl1"
"Adnp2",0.000617426785282166,1.02903242588612,0.299,0.146,1,"18","Adnp2"
"4933434E20Rik1",0.00062143570861656,1.00056725260295,0.507,0.35,1,"18","4933434E20Rik"
"Wdfy11",0.000659162517909723,1.07795995356874,0.478,0.322,1,"18","Wdfy1"
"Vps36",0.000665353646305094,0.603797009935998,0.806,0.733,1,"18","Vps36"
"Prrc2b",0.000697160877310699,0.738425420488487,0.657,0.535,1,"18","Prrc2b"
"Rbm383",0.000706229079774233,1.26290184236948,0.343,0.199,1,"18","Rbm38"
"Rad51d1",0.000731057710609987,1.73224108149764,0.224,0.105,1,"18","Rad51d"
"Slc38a11",0.000739571565756506,0.64805693794069,0.701,0.53,1,"18","Slc38a1"
"Csnk1g1",0.000776839657040477,1.22328531736604,0.418,0.26,1,"18","Csnk1g1"
"Dctn4",0.000797905747165302,0.751562124256205,0.642,0.514,1,"18","Dctn4"
"Jmjd1c2",0.0008104180372607,0.908098071431635,0.507,0.357,1,"18","Jmjd1c"
"Slu7",0.000850824381461681,0.934725958028549,0.478,0.314,1,"18","Slu7"
"Lactb23",0.000870464314247571,1.12155027728685,0.418,0.262,1,"18","Lactb2"
"Gigyf11",0.000871333052851897,1.01112291581722,0.388,0.223,1,"18","Gigyf1"
"Cltc",0.000887689234319677,0.819593615432671,0.701,0.635,1,"18","Cltc"
"Rtraf1",0.000951062950066899,0.505645873635088,0.955,0.923,1,"18","Rtraf"
"Rnf114",0.00095575489596387,1.04043555248886,0.403,0.256,1,"18","Rnf114"
"Rab232",0.00096044566530735,1.05534144078327,0.299,0.152,1,"18","Rab23"
"Vac141",0.000971329080405784,0.995920070454184,0.373,0.215,1,"18","Vac14"
"Ythdc1",0.000972503387687668,0.523243234106906,0.866,0.797,1,"18","Ythdc1"
"Wdfy3",0.000973791341404114,1.3373619539733,0.328,0.197,1,"18","Wdfy3"
"Clk2",0.000987861326431736,1.02935151868567,0.343,0.199,1,"18","Clk2"
"Coprs1",0.000992128607752172,0.684948673230327,0.657,0.521,1,"18","Coprs"
"Tbcel",0.000999444224050505,1.76546089699283,0.209,0.099,1,"18","Tbcel"
"Col4a3bp1",0.00100591260670924,1.33228691461689,0.269,0.14,1,"18","Col4a3bp"
"Nfx1",0.0010332191120595,0.723284252244122,0.627,0.499,1,"18","Nfx1"
"Apc",0.0010373142204746,0.791976898441148,0.567,0.402,1,"18","Apc"
"Atf51",0.00104927880714783,1.79500754665979,0.284,0.153,1,"18","Atf5"
"Klhl26",0.00110175931083839,1.49910817557749,0.254,0.123,1,"18","Klhl26"
"Npc2",0.00110647860234442,0.558367328435326,0.91,0.881,1,"18","Npc2"
"Stx74",0.0011853031693974,1.27626338337376,0.299,0.162,1,"18","Stx7"
"Pepd",0.00120410237230796,0.935538182791389,0.433,0.287,1,"18","Pepd"
"Ddx47",0.0012212581020984,0.720955565469986,0.597,0.398,1,"18","Ddx47"
"Ube2t3",0.00134341234845609,0.955492984427527,0.403,0.25,1,"18","Ube2t"
"Marchf71",0.00138885204683453,0.786331913201838,0.657,0.552,1,"18","Marchf7"
"Brd4",0.00138913430697792,0.501573668834849,0.746,0.646,1,"18","Brd4"
"H2-K14",0.00140733197723585,1.376038140344,0.299,0.164,1,"18","H2-K1"
"Rnf185",0.00140939219312827,1.67129068949012,0.209,0.099,1,"18","Rnf185"
"Cbr36",0.0014111074266595,1.73376741430097,0.254,0.13,1,"18","Cbr3"
"Khdc4",0.00144839184043841,1.24601575959502,0.299,0.164,1,"18","Khdc4"
"Golgb12",0.00146887684058814,0.607735652103645,0.672,0.522,1,"18","Golgb1"
"Cebpg",0.00148332440659211,0.934374919010959,0.448,0.289,1,"18","Cebpg"
"Gnl3",0.00149497352485096,0.546385267461987,0.881,0.846,1,"18","Gnl3"
"Rab22a",0.00152211081861816,0.989116833941359,0.418,0.274,1,"18","Rab22a"
"Slc49a4",0.00152632401503469,1.1887057702665,0.284,0.15,1,"18","Slc49a4"
"Tox4",0.00155407499281176,0.963847944050967,0.448,0.29,1,"18","Tox4"
"Commd42",0.0016241624722145,1.11624067495097,0.567,0.446,1,"18","Commd4"
"Rnh13",0.00162458506473707,1.01228636325326,0.493,0.335,1,"18","Rnh1"
"Mon21",0.00172934131673511,1.2445321415358,0.269,0.14,1,"18","Mon2"
"Qtrt1",0.0017897793187128,1.0487892185818,0.403,0.255,1,"18","Qtrt1"
"Irs22",0.00180248510442052,1.43639706489183,0.254,0.136,1,"18","Irs2"
"Lamtor42",0.00183316216488101,0.642562298344318,0.701,0.573,1,"18","Lamtor4"
"Atp6v1a",0.00189126118840264,0.923893180496614,0.552,0.425,1,"18","Atp6v1a"
"Thrap3",0.00190807872287245,0.57898633249912,0.761,0.667,1,"18","Thrap3"
