p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	tissue
0.642084602	0.135239048	0.389	0.395	1	Ppp3ca	other	Somitic Mesoderm
0.642113922	-0.008933607	0.462	0.477	1	Ube2q1	other	Somitic Mesoderm
0.642141764	-0.289373531	0.014	0.017	1	Ccdc30	other	Somitic Mesoderm
0.642170768	-0.127698597	0.041	0.047	1	Lrrc20	other	Somitic Mesoderm
0.642230172	0.132382794	0.303	0.299	1	Ptk2	other	Somitic Mesoderm
0.642484088	-0.20202069	0.11	0.118	1	Gm9531	other	Somitic Mesoderm
0.642497551	-0.096153736	0.025	0.03	1	Epb41l4a	other	Somitic Mesoderm
0.642636744	-0.070350035	0.46	0.453	1	Tia1	other	Somitic Mesoderm
0.642700943	0.347042123	0.028	0.024	1	Galnt4	other	Somitic Mesoderm
0.642738324	0.111806448	0.092	0.085	1	Ak4	other	Somitic Mesoderm
0.642767676	-0.035695514	0.023	0.019	1	Gm42443	other	Somitic Mesoderm
0.643094728	-0.134908596	0.009	0.012	1	Tuft1	other	Somitic Mesoderm
0.643094728	-0.475563363	0.009	0.012	1	Itpr3	other	Somitic Mesoderm
0.643190794	-0.020895404	0.069	0.076	1	Gm29170	other	Somitic Mesoderm
0.643304502	0.084871064	0.143	0.133	1	Mpp7	other	Somitic Mesoderm
0.643349135	-0.05513955	0.117	0.127	1	Vps53	other	Somitic Mesoderm
0.643386529	-0.045132769	0.039	0.044	1	H2bc7	other	Somitic Mesoderm
0.64342527	-0.052726896	0.09	0.098	1	Tyw3	other	Somitic Mesoderm
0.644043815	0.61580929	0.03	0.026	1	Ap5z1	other	Somitic Mesoderm
0.644044921	-0.190431619	0.094	0.102	1	Trmt61a	other	Somitic Mesoderm
0.644292735	-0.041890465	0.057	0.064	1	Gm42726	other	Somitic Mesoderm
0.644377525	0.311700549	0.055	0.062	1	Decr2	other	Somitic Mesoderm
0.644643148	0.816401908	0.014	0.011	1	Nudt13	other	Somitic Mesoderm
0.644778147	-0.251252053	0.009	0.012	1	Nxpe4	other	Somitic Mesoderm
0.644778147	-0.33632385	0.009	0.012	1	Mir763	other	Somitic Mesoderm
0.644966772	-0.022067136	0.418	0.434	1	Tsen15	other	Somitic Mesoderm
0.64519425	0.014293783	0.099	0.091	1	Krba1	other	Somitic Mesoderm
0.645199287	-0.403306785	0.009	0.012	1	Gm42729	other	Somitic Mesoderm
0.645294805	-0.032186334	0.014	0.017	1	Nadsyn1	other	Somitic Mesoderm
0.645393265	-0.088739211	0.057	0.064	1	Gm37733	other	Somitic Mesoderm
0.645439126	-0.306607182	0.021	0.024	1	mt-Ts2	other	Somitic Mesoderm
0.645500429	0.243513485	0.108	0.1	1	H2-Ke6	other	Somitic Mesoderm
0.645596302	-0.054014965	0.336	0.355	1	Cdk5rap2	other	Somitic Mesoderm
0.645615229	0.171760134	0.168	0.162	1	Riox1	other	Somitic Mesoderm
0.64562054	-0.402992847	0.009	0.012	1	Vamp1	other	Somitic Mesoderm
0.64570018	0.016373467	0.062	0.069	1	Snx16	other	Somitic Mesoderm
0.64577008	0.029110579	0.163	0.176	1	Edc4	other	Somitic Mesoderm
0.645798324	0.167690945	0.177	0.17	1	Dcun1d1	other	Somitic Mesoderm
0.645876681	0.736329241	0.014	0.011	1	Gm38125	other	Somitic Mesoderm
0.646009066	-0.123610144	0.078	0.085	1	Papolg	other	Somitic Mesoderm
